ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3915,2.3838,93.0324,223.9676,2869.1687
3916,2.4002,93.344,224.656,2902.988
3917,2.4002,93.6556,225.3444,2902.988
3918,2.4098,93.9664,226.0336,2914.9297
3919,2.4098,94.2772,226.7228,2914.9297
3920,2.4334,94.5822,227.4178,2946.1328
3921,2.4446,94.885,228.115,2962.6748
3922,2.4446,95.1878,228.8122,2962.6748
3923,2.4446,95.4906,229.5094,2962.6748
3924,2.453,95.7924,230.2076,2975.2
3925,2.453,96.0942,230.9058,2975.2
3926,2.4594,96.3988,231.6012,2983.572
3927,2.4602,96.7026,232.2974,2983.572
3928,2.4604,97.0062,232.9938,2983.572
3929,2.4606,97.3096,233.6904,2983.572
3930,2.4606,97.613,234.387,2983.572
3931,2.4612,97.9198,235.0802,2988.772
3932,2.4704,98.2286,235.7714,3005.792
3933,2.483,98.5386,236.4614,3038.1392
3934,2.483,98.8486,237.1514,3038.1392
3935,2.483,99.1586,237.8414,3038.1392
3936,2.4988,99.469,238.531,3067.8176
3937,2.4988,99.7794,239.2206,3067.8176
3938,2.4988,100.0898,239.9102,3067.8176
3939,2.5004,100.3998,240.6002,3069.5613
3940,2.5004,100.7098,241.2902,3069.5613
3941,2.5144,101.0136,241.9864,3089.8413
3942,2.5144,101.3174,242.6826,3089.8413
3943,2.5196,101.616,243.384,3089.8413
3944,2.524,101.9156,244.0844,3097.6875
3945,2.5338,102.2064,244.7936,3099.1404
3946,2.5338,102.4972,245.5028,3099.1404
3947,2.5544,102.7922,246.2078,3135.1748
3948,2.5598,103.0856,246.9144,3140.1147
3949,2.5654,103.3772,247.6228,3147.9238
3950,2.581,103.6756,248.3244,3193.1233
3951,2.5964,103.9792,249.0208,3224.259
3952,2.6158,104.2772,249.7228,3244.687
3953,2.617,104.574,250.426,3244.687
3954,2.6192,104.8686,251.1314,3244.687
3955,2.6216,105.1638,251.8362,3250.537
3956,2.6216,105.459,252.541,3250.537
3957,2.6224,105.7564,253.2436,3255.361
3958,2.6242,106.0558,253.9442,3260.301
3959,2.6362,106.3532,254.6468,3273.4412
3960,2.64,106.6524,255.3476,3281.578
3961,2.6478,106.954,256.046,3296.801
3962,2.6596,107.2592,256.7408,3323.7515
3963,2.669,107.563,257.437,3336.6067
3964,2.6748,107.8648,258.1352,3346.4866
3965,2.6772,108.1642,258.8358,3346.4866
3966,2.679,108.4636,259.5364,3349.795
3967,2.684,108.7686,260.2314,3368.9392
3968,2.6934,109.0796,260.9204,3399.3264
3969,2.6946,109.3894,261.6106,3399.3264
3970,2.7032,109.7018,262.2982,3413.8855
3971,2.7046,110.0128,262.9872,3413.8855
3972,2.7046,110.3238,263.6762,3413.8855
3973,2.7104,110.6348,264.3652,3425.804
3974,2.7104,110.9458,265.0542,3425.804
3975,2.719,111.2556,265.7444,3434.6785
3976,2.7212,111.565,266.435,3437.9856
3977,2.7222,111.8734,267.1266,3437.9856
3978,2.7252,112.1806,267.8194,3440.6008
3979,2.7254,112.4876,268.5124,3440.6008
3980,2.7326,112.7946,269.2054,3453.8335
3981,2.7326,113.1016,269.8984,3453.8335
3982,2.7328,113.4084,270.5916,3453.8335
3983,2.736,113.7166,271.2834,3460.5176
3984,2.7426,114.021,271.979,3466.272
3985,2.7426,114.3254,272.6746,3466.272
3986,2.7512,114.6304,273.3696,3480.4087
3987,2.7734,114.9406,274.0594,3535.8823
3988,2.774,115.252,274.748,3540.7063
3989,2.7822,115.5626,275.4374,3550.3264
3990,2.792,115.8712,276.1288,3560.6697
3991,2.7924,116.18,276.82,3562.2776
3992,2.8024,116.4898,277.5102,3584.1023
3993,2.8056,116.7992,278.2008,3589.0137
3994,2.8074,117.1068,278.8932,3589.0137
3995,2.8142,117.4122,279.5878,3593.2
3996,2.8142,117.7176,280.2824,3593.2
3997,2.8194,118.0368,280.9632,3610.6624
3998,2.8288,118.352,281.648,3623.663
3999,2.8384,118.668,282.332,3638.9592
4000,2.8384,118.984,283.016,3638.9592
